贴吧名称,贴吧地址,回复条数,帖子地址,帖子主题,帖子作者,作者id,作者首页地址,帖子创建时间,贴子内容,帖子最近回复人,帖子最近回复人首页地址,帖子最后回复时间
摄影吧,https://tieba.baidu.com/f?ie=utf-8&kw=%E6%91%84%E5%BD%B1%E5%90%A7,49,https://tieba.baidu.com/p/6724761226,感觉越是自然瞬间，就越美。长焦不拍植物和鸟。,真实才最美😍,4134389432,https://tieba.baidu.com/home/main/?un=%E4%BA%8B%E5%AE%9E%E4%B9%8B%E7%9C%9F%E7%9B%B8%E6%8E%A2%E7%A9%B6&ie=utf-8&id=tb.1.130add78.zpf6gwp99odAx63dGAo1Jw&fr=frs,6-3,nan,色影师娱乐,https://tieba.baidu.com/home/main/?un=%E8%89%B2%E5%BD%B1%E5%B8%88%E5%A8%B1%E4%B9%90&ie=utf-8&id=tb.1.685fa28.1kvUGyk0ZMZRGU0LwsNkgg&fr=frs,2020-11-20 19:32
摄影吧,https://tieba.baidu.com/f?ie=utf-8&kw=%E6%91%84%E5%BD%B1%E5%90%A7,6,https://tieba.baidu.com/p/7100656953,小弟今年大二，突然开始对摄影感兴趣，近半年的照片求老法师们点,锦衣卫nice,782419135,https://tieba.baidu.com/home/main/?un=%E9%94%A6%E8%A1%A3%E5%8D%ABnice&ie=utf-8&id=tb.1.60e7029f.vrMrioHkez-q6waOo7FgXQ&fr=frs,2020-11-20 10:41,nan,锦衣卫nice,https://tieba.baidu.com/home/main/?un=%E9%94%A6%E8%A1%A3%E5%8D%ABnice&ie=utf-8&id=tb.1.60e7029f.vrMrioHkez-q6waOo7FgXQ&fr=frs,2020-11-20 19:15
摄影吧,https://tieba.baidu.com/f?ie=utf-8&kw=%E6%91%84%E5%BD%B1%E5%90%A7,126,https://tieba.baidu.com/p/7032130510,玩摄影有一段时间了 不知道自己拍的怎么样求大佬指点一下,北望十一🌻,2671656942,https://tieba.baidu.com/home/main/?un=%E9%9A%8F%E9%A3%8E%E5%BF%83%E5%8A%A81213&ie=utf-8&id=tb.1.b13c2c54.-PTxScJH2v-eMx7wO3yjPw&fr=frs,10-20,nan,馨男的迷弟🎓,https://tieba.baidu.com/home/main/?un=1%E4%B8%AA%E4%BA%BA%E7%9A%84%E6%97%85%E8%A1%8C08&ie=utf-8&id=tb.1.a3aca177.zKOC-SZ0V69g2DPDzdyG5w&fr=frs,2020-11-20 21:41
摄影吧,https://tieba.baidu.com/f?ie=utf-8&kw=%E6%91%84%E5%BD%B1%E5%90%A7,32,https://tieba.baidu.com/p/7094780326,raw格式转jpg修图和raw格式直接调是一样的吗,白夜行😺,2472056118,https://tieba.baidu.com/home/main/?un=%E7%86%8A%E5%AD%A9%E5%AD%90%E4%B8%893&ie=utf-8&id=tb.1.a74b4008.Ezjy6EVPKERc9yG1kR8t0Q&fr=frs,11-17,nan,僚蔡懒罢钒目,https://tieba.baidu.com/home/main/?un=%E5%83%9A%E8%94%A1%E6%87%92%E7%BD%A2%E9%92%92%E7%9B%AE&ie=utf-8&id=tb.1.92d2d60e.uwkgqaqkybWkCJRymMU5Hg&fr=frs,2020-11-20 21:38
摄影吧,https://tieba.baidu.com/f?ie=utf-8&kw=%E6%91%84%E5%BD%B1%E5%90%A7,41,https://tieba.baidu.com/p/7058940445,求大佬们指点,茫然失措ლ,2409564760,https://tieba.baidu.com/home/main/?un=%E5%86%B7%E7%92%9F%E8%BD%A9&ie=utf-8&id=tb.1.6f960f80.hz6gKm_FHDPLuNj_jAcZEw&fr=frs,11-1,nan,Ayanga🌸,https://tieba.baidu.com/home/main/?un=Ssszy17%E9%A6%83%E6%87%A2&ie=utf-8&id=tb.1.b778aef9.Kn431swjwv9EEnS315uUVQ&fr=frs,2020-11-20 21:37
摄影吧,https://tieba.baidu.com/f?ie=utf-8&kw=%E6%91%84%E5%BD%B1%E5%90%A7,201,https://tieba.baidu.com/p/7093274098,使用了长达一年的35定后...（记录,千反田--,2130112211,https://tieba.baidu.com/home/main/?un=%E8%AE%B0%E5%BD%95%E5%BE%80%E6%9D%A5&ie=utf-8&id=tb.1.9304bdb.GVtWZYLtflLGF6c8Vqu18g&fr=frs,11-16,nan,哥顿哥😈,https://tieba.baidu.com/home/main/?un=hahahujbdj&ie=utf-8&id=tb.1.16436298.vL3c0HbnVfKfvm9A5Rz-7g&fr=frs,2020-11-20 21:21
摄影吧,https://tieba.baidu.com/f?ie=utf-8&kw=%E6%91%84%E5%BD%B1%E5%90%A7,3,https://tieba.baidu.com/p/7100392591,大佬们看看孩子吧,呢喃细语🌝,2722584169,https://tieba.baidu.com/home/main/?un=%E5%BE%B7%E7%88%B7%E5%8B%92&ie=utf-8&id=tb.1.f992d858.d-RHg1EcmGjneolAPkkGrw&fr=frs,2020-11-20 08:12,nan,禞艷咼🌸,https://tieba.baidu.com/home/main/?un=%E7%BD%97%E7%94%B0_%E9%9B%A8%E4%BA%AD&ie=utf-8&id=tb.1.f1c6729e.lrcoq-lS6Sgxd6MkfHSqbg&fr=frs,2020-11-20 13:54
摄影吧,https://tieba.baidu.com/f?ie=utf-8&kw=%E6%91%84%E5%BD%B1%E5%90%A7,3,https://tieba.baidu.com/p/7101896755,求求各位大哥了,微风-细雨,3395143108,https://tieba.baidu.com/home/main/?un=zengyun0610&ie=utf-8&id=tb.1.2201d029.9Q3dW15lDInsOrReYxxbqg&fr=frs,2020-11-20 20:42,nan,微风-细雨,https://tieba.baidu.com/home/main/?un=zengyun0610&ie=utf-8&id=tb.1.2201d029.9Q3dW15lDInsOrReYxxbqg&fr=frs,2020-11-20 21:01
摄影吧,https://tieba.baidu.com/f?ie=utf-8&kw=%E6%91%84%E5%BD%B1%E5%90%A7,46,https://tieba.baidu.com/p/7067936766,新机试拍怎么这么暗,绞架台上唱ING,83467364,https://tieba.baidu.com/home/main/?un=%E7%BB%9E%E6%9E%B6%E5%8F%B0%E4%B8%8A%E5%94%B1ING&ie=utf-8&id=tb.1.af15a8fc.lvRNQX8O5BtxwNUc-X1Gkg&fr=frs,11-5,nan,光的艺术♀,https://tieba.baidu.com/home/main/?un=%E7%89%9B%E4%BB%94%E6%91%84%E5%BD%B1%E5%B9%B3%E5%8F%B001&ie=utf-8&id=tb.1.5f016a10.w9k2drblASDONJrVOFPUow&fr=frs,2020-11-20 20:54
摄影吧,https://tieba.baidu.com/f?ie=utf-8&kw=%E6%91%84%E5%BD%B1%E5%90%A7,104,https://tieba.baidu.com/p/7032179828,新人刚学摄影 请吧友们指点,北白川玉子zzz,4325475115,https://tieba.baidu.com/home/main/?un=%E5%8C%97%E7%99%BD%E5%B7%9D%E7%8E%89%E5%AD%90zzz&ie=utf-8&id=tb.1.8ed5da.MX-A-M11nLxFXB3Eb-Qspg&fr=frs,10-21,nan,光的艺术♀,https://tieba.baidu.com/home/main/?un=%E7%89%9B%E4%BB%94%E6%91%84%E5%BD%B1%E5%B9%B3%E5%8F%B001&ie=utf-8&id=tb.1.5f016a10.w9k2drblASDONJrVOFPUow&fr=frs,2020-11-20 20:53
摄影吧,https://tieba.baidu.com/f?ie=utf-8&kw=%E6%91%84%E5%BD%B1%E5%90%A7,0,https://tieba.baidu.com/p/7101908381,有大神吗,追梦的拌白,3330123571,https://tieba.baidu.com/home/main/?un=%E8%BF%BD%E6%A2%A6%E7%9A%84%E6%8B%8C%E7%99%BD&ie=utf-8&id=tb.1.8f617bda.igAywCtiJd50v6tDdkv3Ew&fr=frs,2020-11-20 20:49,nan,追梦的拌白,https://tieba.baidu.com/home/main/?un=%E8%BF%BD%E6%A2%A6%E7%9A%84%E6%8B%8C%E7%99%BD&ie=utf-8&id=tb.1.8f617bda.igAywCtiJd50v6tDdkv3Ew&fr=frs,2020-11-20 20:49
摄影吧,https://tieba.baidu.com/f?ie=utf-8&kw=%E6%91%84%E5%BD%B1%E5%90%A7,0,https://tieba.baidu.com/p/7101877813,进来都是朋友，来一起交流学习呀！（拒绝广告）,🌌with,4741850228,https://tieba.baidu.com/home/main/?un=%E9%9F%B3%E4%B9%90%E4%BA%BA%E4%BB%A3%E8%BF%87&ie=utf-8&id=tb.1.39c0ad2b.GDvaM0gH2EtWpnydL4lQ8Q&fr=frs,2020-11-20 20:32,nan,🌌with,https://tieba.baidu.com/home/main/?un=%E9%9F%B3%E4%B9%90%E4%BA%BA%E4%BB%A3%E8%BF%87&ie=utf-8&id=tb.1.39c0ad2b.GDvaM0gH2EtWpnydL4lQ8Q&fr=frs,2020-11-20 20:32
摄影吧,https://tieba.baidu.com/f?ie=utf-8&kw=%E6%91%84%E5%BD%B1%E5%90%A7,3,https://tieba.baidu.com/p/7100766135,iPhone11pro 拍摄原图,3G98,397654430,https://tieba.baidu.com/home/main/?un=3G98&ie=utf-8&id=tb.1.d0fa6b54.sbztTjDn67WzTp2rSzxjzw&fr=frs,2020-11-20 11:30,nan,3G98,https://tieba.baidu.com/home/main/?un=3G98&ie=utf-8&id=tb.1.d0fa6b54.sbztTjDn67WzTp2rSzxjzw&fr=frs,2020-11-20 20:42
